,Unnamed: 0,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,lon,lat,geometry
22,27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
23,28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
24,29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
25,30,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
26,31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
27,32,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
28,33,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
29,34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
30,35,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
31,36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
32,37,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
33,38,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
34,39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
35,40,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
36,41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
37,42,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
38,43,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
39,44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
40,45,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
41,46,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
42,48,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
43,49,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
44,50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
45,51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
46,52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
47,53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
48,54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
49,55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
50,56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
51,57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
52,58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
53,59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
54,60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
55,61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
56,62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
57,63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
58,64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
59,65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
60,66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
61,67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
62,68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,-64.09,-64.77,POINT (-64.8 -64)
63,69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,-64.09,-64.77,POINT (-64.8 -64)
64,70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,-64.09,-64.77,POINT (-64.8 -64)
65,71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,-64.09,-64.77,POINT (-64.8 -64)
66,72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,-64.09,-64.77,POINT (-64.8 -64)
67,73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,-64.09,-64.77,POINT (-64.8 -64)
68,74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,-64.09,-64.77,POINT (-64.8 -64)
69,75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,-64.09,-64.77,POINT (-64.8 -64)
70,76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,-64.09,-64.77,POINT (-64.8 -64)
71,77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,-64.09,-64.77,POINT (-64.8 -64)
72,78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,-64.09,-64.77,POINT (-64.8 -64)
73,79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,-64.09,-64.77,POINT (-64.8 -64)
74,80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,-64.09,-64.77,POINT (-64.8 -64)
75,81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,-64.09,-64.77,POINT (-64.8 -64)
76,82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,-64.09,-64.77,POINT (-64.8 -64)
77,83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,-64.09,-64.77,POINT (-64.8 -64)
78,84,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
79,85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
80,86,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
81,87,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
82,88,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
83,89,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
84,90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
85,91,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
86,92,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
87,93,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
88,94,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
89,95,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
90,96,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
91,97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
92,98,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
93,99,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
94,100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
95,101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
96,102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
97,103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
98,104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
99,105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
100,106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
101,107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
102,108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
103,109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
104,110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
105,111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
106,112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
107,113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
108,114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
109,115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
110,116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,-64.09,-64.77,POINT (-64.8 -64)
111,117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,-64.09,-64.77,POINT (-64.8 -64)
112,118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,-64.09,-64.77,POINT (-64.8 -64)
113,119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,-64.09,-64.77,POINT (-64.8 -64)
114,120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,-64.09,-64.77,POINT (-64.8 -64)
115,121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,-64.09,-64.77,POINT (-64.8 -64)
116,122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,-64.09,-64.77,POINT (-64.8 -64)
117,123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,-64.09,-64.77,POINT (-64.8 -64)
118,124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,-64.09,-64.77,POINT (-64.8 -64)
119,125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,-64.09,-64.77,POINT (-64.8 -64)
120,126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,-64.09,-64.77,POINT (-64.8 -64)
121,127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,-64.09,-64.77,POINT (-64.8 -64)
122,128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,-64.09,-64.77,POINT (-64.8 -64)
123,129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,-64.09,-64.77,POINT (-64.8 -64)
124,130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,-64.09,-64.77,POINT (-64.8 -64)
125,131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,-64.09,-64.77,POINT (-64.8 -64)
126,132,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
127,133,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
128,134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
129,135,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
130,136,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
131,137,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
132,138,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
133,139,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
134,140,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
135,141,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
136,142,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
137,143,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
138,144,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
139,145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
140,146,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
141,147,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
142,148,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
143,149,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
144,150,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
145,151,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
146,152,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
147,153,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
148,154,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
149,155,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
150,156,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
151,157,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
152,158,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
153,159,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
154,160,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
155,161,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
156,162,Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
157,163,Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
158,164,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
159,165,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
160,166,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
161,167,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
162,168,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
163,169,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
164,170,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
165,171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
166,172,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
167,173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
168,174,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
169,175,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
170,176,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
171,177,Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
172,178,Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
173,179,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
174,180,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
175,181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
176,182,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
177,183,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
178,184,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
179,185,Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
180,186,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
181,187,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
182,188,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
183,189,Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
184,190,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
185,191,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
186,192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
187,193,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
188,194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
189,195,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
190,196,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
191,197,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
192,198,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
193,199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
194,200,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
195,201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
196,202,Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
197,203,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
198,204,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
199,205,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
200,206,Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
201,207,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
202,208,Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
203,209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
204,210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
205,211,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
206,212,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
207,213,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
208,214,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
209,215,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
210,216,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
211,217,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
212,218,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,-64.23,-64.73,POINT (-64.2 -64.7)
213,219,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,-64.23,-64.73,POINT (-64.2 -64.7)
214,220,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
215,221,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
216,222,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
217,223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
218,224,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
219,225,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
220,226,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
221,227,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
222,228,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
223,229,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
224,230,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
225,231,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
226,232,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
227,233,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
228,234,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
229,235,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
230,236,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
231,237,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
232,238,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
233,239,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
