,Unnamed: 0,city,country,date.utc,location,parameter,value,unit
102,102,Paris,FR,2019-06-14 17:00:00+00:00,FR04014,no2,16.6,µg/m³
103,103,Paris,FR,2019-06-14 16:00:00+00:00,FR04014,no2,18.9,µg/m³
104,104,Paris,FR,2019-06-14 15:00:00+00:00,FR04014,no2,15.2,µg/m³
105,105,Paris,FR,2019-06-14 14:00:00+00:00,FR04014,no2,14.2,µg/m³
106,106,Paris,FR,2019-06-14 13:00:00+00:00,FR04014,no2,15.4,µg/m³
107,107,Paris,FR,2019-06-14 12:00:00+00:00,FR04014,no2,17.1,µg/m³
108,108,Paris,FR,2019-06-14 11:00:00+00:00,FR04014,no2,21.8,µg/m³
109,109,Paris,FR,2019-06-14 10:00:00+00:00,FR04014,no2,25.1,µg/m³
110,110,Paris,FR,2019-06-14 09:00:00+00:00,FR04014,no2,27.9,µg/m³
111,111,Paris,FR,2019-06-14 08:00:00+00:00,FR04014,no2,34.3,µg/m³
112,112,Paris,FR,2019-06-14 07:00:00+00:00,FR04014,no2,51.5,µg/m³
113,113,Paris,FR,2019-06-14 06:00:00+00:00,FR04014,no2,64.3,µg/m³
114,114,Paris,FR,2019-06-14 05:00:00+00:00,FR04014,no2,49.3,µg/m³
115,115,Paris,FR,2019-06-14 04:00:00+00:00,FR04014,no2,37.9,µg/m³
116,116,Paris,FR,2019-06-14 03:00:00+00:00,FR04014,no2,48.5,µg/m³
117,117,Paris,FR,2019-06-14 02:00:00+00:00,FR04014,no2,66.6,µg/m³
118,118,Paris,FR,2019-06-14 01:00:00+00:00,FR04014,no2,68.1,µg/m³
119,119,Paris,FR,2019-06-14 00:00:00+00:00,FR04014,no2,74.2,µg/m³
120,120,Paris,FR,2019-06-13 23:00:00+00:00,FR04014,no2,78.3,µg/m³
121,121,Paris,FR,2019-06-13 22:00:00+00:00,FR04014,no2,77.9,µg/m³
122,122,Paris,FR,2019-06-13 21:00:00+00:00,FR04014,no2,58.8,µg/m³
123,123,Paris,FR,2019-06-13 20:00:00+00:00,FR04014,no2,31.5,µg/m³
124,124,Paris,FR,2019-06-13 19:00:00+00:00,FR04014,no2,27.5,µg/m³
125,125,Paris,FR,2019-06-13 18:00:00+00:00,FR04014,no2,24.0,µg/m³
126,126,Paris,FR,2019-06-13 17:00:00+00:00,FR04014,no2,38.2,µg/m³
127,127,Paris,FR,2019-06-13 16:00:00+00:00,FR04014,no2,36.1,µg/m³
128,128,Paris,FR,2019-06-13 15:00:00+00:00,FR04014,no2,28.8,µg/m³
129,129,Paris,FR,2019-06-13 14:00:00+00:00,FR04014,no2,19.4,µg/m³
130,130,Paris,FR,2019-06-13 13:00:00+00:00,FR04014,no2,18.2,µg/m³
131,131,Paris,FR,2019-06-13 12:00:00+00:00,FR04014,no2,17.9,µg/m³
132,132,Paris,FR,2019-06-13 11:00:00+00:00,FR04014,no2,22.7,µg/m³
133,133,Paris,FR,2019-06-13 10:00:00+00:00,FR04014,no2,24.5,µg/m³
134,134,Paris,FR,2019-06-13 09:00:00+00:00,FR04014,no2,30.2,µg/m³
135,135,Paris,FR,2019-06-13 08:00:00+00:00,FR04014,no2,35.3,µg/m³
136,136,Paris,FR,2019-06-13 07:00:00+00:00,FR04014,no2,40.9,µg/m³
137,137,Paris,FR,2019-06-13 06:00:00+00:00,FR04014,no2,39.8,µg/m³
138,138,Paris,FR,2019-06-13 05:00:00+00:00,FR04014,no2,37.0,µg/m³
139,139,Paris,FR,2019-06-13 04:00:00+00:00,FR04014,no2,24.6,µg/m³
140,140,Paris,FR,2019-06-13 03:00:00+00:00,FR04014,no2,18.8,µg/m³
141,141,Paris,FR,2019-06-13 02:00:00+00:00,FR04014,no2,18.0,µg/m³
142,142,Paris,FR,2019-06-13 01:00:00+00:00,FR04014,no2,18.7,µg/m³
143,143,Paris,FR,2019-06-13 00:00:00+00:00,FR04014,no2,20.0,µg/m³
144,144,Paris,FR,2019-06-12 23:00:00+00:00,FR04014,no2,26.9,µg/m³
145,145,Paris,FR,2019-06-12 22:00:00+00:00,FR04014,no2,25.6,µg/m³
146,146,Paris,FR,2019-06-12 21:00:00+00:00,FR04014,no2,29.3,µg/m³
147,147,Paris,FR,2019-06-12 20:00:00+00:00,FR04014,no2,29.2,µg/m³
148,148,Paris,FR,2019-06-12 19:00:00+00:00,FR04014,no2,23.4,µg/m³
149,149,Paris,FR,2019-06-12 18:00:00+00:00,FR04014,no2,25.3,µg/m³
150,150,Paris,FR,2019-06-12 17:00:00+00:00,FR04014,no2,24.2,µg/m³
151,151,Paris,FR,2019-06-12 16:00:00+00:00,FR04014,no2,23.6,µg/m³
152,152,Paris,FR,2019-06-12 15:00:00+00:00,FR04014,no2,16.8,µg/m³
153,153,Paris,FR,2019-06-12 14:00:00+00:00,FR04014,no2,20.3,µg/m³
154,154,Paris,FR,2019-06-12 13:00:00+00:00,FR04014,no2,17.9,µg/m³
155,155,Paris,FR,2019-06-12 12:00:00+00:00,FR04014,no2,15.4,µg/m³
156,156,Paris,FR,2019-06-12 11:00:00+00:00,FR04014,no2,0.0,µg/m³
157,157,Paris,FR,2019-06-12 10:00:00+00:00,FR04014,no2,0.0,µg/m³
158,158,Paris,FR,2019-06-12 09:00:00+00:00,FR04014,no2,26.7,µg/m³
159,159,Paris,FR,2019-06-12 08:00:00+00:00,FR04014,no2,35.5,µg/m³
160,160,Paris,FR,2019-06-12 07:00:00+00:00,FR04014,no2,44.4,µg/m³
161,161,Paris,FR,2019-06-12 06:00:00+00:00,FR04014,no2,38.4,µg/m³
162,162,Paris,FR,2019-06-12 05:00:00+00:00,FR04014,no2,42.7,µg/m³
163,163,Paris,FR,2019-06-12 04:00:00+00:00,FR04014,no2,44.9,µg/m³
164,164,Paris,FR,2019-06-12 03:00:00+00:00,FR04014,no2,36.3,µg/m³
165,165,Paris,FR,2019-06-12 02:00:00+00:00,FR04014,no2,34.7,µg/m³
166,166,Paris,FR,2019-06-12 01:00:00+00:00,FR04014,no2,41.9,µg/m³
167,167,Paris,FR,2019-06-12 00:00:00+00:00,FR04014,no2,37.2,µg/m³
168,168,Paris,FR,2019-06-11 23:00:00+00:00,FR04014,no2,41.5,µg/m³
169,169,Paris,FR,2019-06-11 22:00:00+00:00,FR04014,no2,59.4,µg/m³
170,170,Paris,FR,2019-06-11 21:00:00+00:00,FR04014,no2,54.1,µg/m³
171,171,Paris,FR,2019-06-11 20:00:00+00:00,FR04014,no2,42.7,µg/m³
172,172,Paris,FR,2019-06-11 19:00:00+00:00,FR04014,no2,36.1,µg/m³
173,173,Paris,FR,2019-06-11 18:00:00+00:00,FR04014,no2,44.6,µg/m³
174,174,Paris,FR,2019-06-11 17:00:00+00:00,FR04014,no2,35.5,µg/m³
175,175,Paris,FR,2019-06-11 16:00:00+00:00,FR04014,no2,22.6,µg/m³
176,176,Paris,FR,2019-06-11 15:00:00+00:00,FR04014,no2,19.8,µg/m³
177,177,Paris,FR,2019-06-11 14:00:00+00:00,FR04014,no2,16.6,µg/m³
178,178,Paris,FR,2019-06-11 13:00:00+00:00,FR04014,no2,13.1,µg/m³
179,179,Paris,FR,2019-06-11 12:00:00+00:00,FR04014,no2,12.6,µg/m³
180,180,Paris,FR,2019-06-11 11:00:00+00:00,FR04014,no2,17.3,µg/m³
181,181,Paris,FR,2019-06-11 10:00:00+00:00,FR04014,no2,22.1,µg/m³
182,182,Paris,FR,2019-06-11 09:00:00+00:00,FR04014,no2,31.7,µg/m³
183,183,Paris,FR,2019-06-11 08:00:00+00:00,FR04014,no2,43.6,µg/m³
184,184,Paris,FR,2019-06-11 07:00:00+00:00,FR04014,no2,58.0,µg/m³
185,185,Paris,FR,2019-06-11 06:00:00+00:00,FR04014,no2,55.4,µg/m³
186,186,Paris,FR,2019-06-11 05:00:00+00:00,FR04014,no2,58.7,µg/m³
187,187,Paris,FR,2019-06-11 04:00:00+00:00,FR04014,no2,52.7,µg/m³
188,188,Paris,FR,2019-06-11 03:00:00+00:00,FR04014,no2,32.3,µg/m³
189,189,Paris,FR,2019-06-11 02:00:00+00:00,FR04014,no2,29.6,µg/m³
190,190,Paris,FR,2019-06-11 01:00:00+00:00,FR04014,no2,19.1,µg/m³
191,191,Paris,FR,2019-06-11 00:00:00+00:00,FR04014,no2,19.6,µg/m³
192,192,Paris,FR,2019-06-10 23:00:00+00:00,FR04014,no2,24.1,µg/m³
193,193,Paris,FR,2019-06-10 22:00:00+00:00,FR04014,no2,24.8,µg/m³
194,194,Paris,FR,2019-06-10 21:00:00+00:00,FR04014,no2,23.5,µg/m³
195,195,Paris,FR,2019-06-10 20:00:00+00:00,FR04014,no2,22.6,µg/m³
196,196,Paris,FR,2019-06-10 19:00:00+00:00,FR04014,no2,22.3,µg/m³
197,197,Paris,FR,2019-06-10 18:00:00+00:00,FR04014,no2,18.4,µg/m³
198,198,Paris,FR,2019-06-10 17:00:00+00:00,FR04014,no2,19.1,µg/m³
199,199,Paris,FR,2019-06-10 16:00:00+00:00,FR04014,no2,15.1,µg/m³
200,200,Paris,FR,2019-06-10 15:00:00+00:00,FR04014,no2,11.7,µg/m³
201,201,Paris,FR,2019-06-10 14:00:00+00:00,FR04014,no2,9.5,µg/m³
202,202,Paris,FR,2019-06-10 13:00:00+00:00,FR04014,no2,9.6,µg/m³
203,203,Paris,FR,2019-06-10 12:00:00+00:00,FR04014,no2,11.7,µg/m³
204,204,Paris,FR,2019-06-10 11:00:00+00:00,FR04014,no2,12.2,µg/m³
205,205,Paris,FR,2019-06-10 10:00:00+00:00,FR04014,no2,14.1,µg/m³
206,206,Paris,FR,2019-06-10 09:00:00+00:00,FR04014,no2,18.5,µg/m³
207,207,Paris,FR,2019-06-10 08:00:00+00:00,FR04014,no2,16.9,µg/m³
208,208,Paris,FR,2019-06-10 07:00:00+00:00,FR04014,no2,23.0,µg/m³
209,209,Paris,FR,2019-06-10 06:00:00+00:00,FR04014,no2,26.7,µg/m³
210,210,Paris,FR,2019-06-10 05:00:00+00:00,FR04014,no2,21.3,µg/m³
211,211,Paris,FR,2019-06-10 04:00:00+00:00,FR04014,no2,13.7,µg/m³
212,212,Paris,FR,2019-06-10 03:00:00+00:00,FR04014,no2,18.0,µg/m³
213,213,Paris,FR,2019-06-10 02:00:00+00:00,FR04014,no2,17.8,µg/m³
214,214,Paris,FR,2019-06-10 01:00:00+00:00,FR04014,no2,19.3,µg/m³
215,215,Paris,FR,2019-06-10 00:00:00+00:00,FR04014,no2,28.1,µg/m³
216,216,Paris,FR,2019-06-09 23:00:00+00:00,FR04014,no2,39.9,µg/m³
217,217,Paris,FR,2019-06-09 22:00:00+00:00,FR04014,no2,37.1,µg/m³
218,218,Paris,FR,2019-06-09 21:00:00+00:00,FR04014,no2,30.9,µg/m³
219,219,Paris,FR,2019-06-09 20:00:00+00:00,FR04014,no2,33.2,µg/m³
220,220,Paris,FR,2019-06-09 19:00:00+00:00,FR04014,no2,30.6,µg/m³
221,221,Paris,FR,2019-06-09 18:00:00+00:00,FR04014,no2,19.5,µg/m³
222,222,Paris,FR,2019-06-09 17:00:00+00:00,FR04014,no2,13.0,µg/m³
223,223,Paris,FR,2019-06-09 16:00:00+00:00,FR04014,no2,10.3,µg/m³
224,224,Paris,FR,2019-06-09 15:00:00+00:00,FR04014,no2,7.2,µg/m³
225,225,Paris,FR,2019-06-09 14:00:00+00:00,FR04014,no2,7.9,µg/m³
226,226,Paris,FR,2019-06-09 13:00:00+00:00,FR04014,no2,10.2,µg/m³
227,227,Paris,FR,2019-06-09 12:00:00+00:00,FR04014,no2,14.6,µg/m³
228,228,Paris,FR,2019-06-09 11:00:00+00:00,FR04014,no2,14.6,µg/m³
229,229,Paris,FR,2019-06-09 10:00:00+00:00,FR04014,no2,16.6,µg/m³
230,230,Paris,FR,2019-06-09 09:00:00+00:00,FR04014,no2,25.0,µg/m³
231,231,Paris,FR,2019-06-09 08:00:00+00:00,FR04014,no2,30.2,µg/m³
232,232,Paris,FR,2019-06-09 07:00:00+00:00,FR04014,no2,32.7,µg/m³
233,233,Paris,FR,2019-06-09 06:00:00+00:00,FR04014,no2,36.7,µg/m³
234,234,Paris,FR,2019-06-09 05:00:00+00:00,FR04014,no2,42.2,µg/m³
235,235,Paris,FR,2019-06-09 04:00:00+00:00,FR04014,no2,43.0,µg/m³
236,236,Paris,FR,2019-06-09 03:00:00+00:00,FR04014,no2,51.5,µg/m³
237,237,Paris,FR,2019-06-09 02:00:00+00:00,FR04014,no2,51.2,µg/m³
238,238,Paris,FR,2019-06-09 01:00:00+00:00,FR04014,no2,41.0,µg/m³
239,239,Paris,FR,2019-06-09 00:00:00+00:00,FR04014,no2,55.9,µg/m³
240,240,Paris,FR,2019-06-08 23:00:00+00:00,FR04014,no2,47.0,µg/m³
241,241,Paris,FR,2019-06-08 22:00:00+00:00,FR04014,no2,34.8,µg/m³
242,242,Paris,FR,2019-06-08 21:00:00+00:00,FR04014,no2,36.7,µg/m³
243,243,Paris,FR,2019-06-08 18:00:00+00:00,FR04014,no2,22.0,µg/m³
244,244,Paris,FR,2019-06-08 17:00:00+00:00,FR04014,no2,14.8,µg/m³
245,245,Paris,FR,2019-06-08 16:00:00+00:00,FR04014,no2,14.1,µg/m³
246,246,Paris,FR,2019-06-08 15:00:00+00:00,FR04014,no2,11.7,µg/m³
247,247,Paris,FR,2019-06-08 14:00:00+00:00,FR04014,no2,10.3,µg/m³
248,248,Paris,FR,2019-06-08 13:00:00+00:00,FR04014,no2,11.1,µg/m³
249,249,Paris,FR,2019-06-08 12:00:00+00:00,FR04014,no2,9.2,µg/m³
250,250,Paris,FR,2019-06-08 11:00:00+00:00,FR04014,no2,10.4,µg/m³
251,251,Paris,FR,2019-06-08 10:00:00+00:00,FR04014,no2,10.3,µg/m³
252,252,Paris,FR,2019-06-08 09:00:00+00:00,FR04014,no2,11.7,µg/m³
253,253,Paris,FR,2019-06-08 08:00:00+00:00,FR04014,no2,13.0,µg/m³
254,254,Paris,FR,2019-06-08 07:00:00+00:00,FR04014,no2,14.0,µg/m³
255,255,Paris,FR,2019-06-08 06:00:00+00:00,FR04014,no2,13.8,µg/m³
256,256,Paris,FR,2019-06-08 05:00:00+00:00,FR04014,no2,14.1,µg/m³
257,257,Paris,FR,2019-06-08 04:00:00+00:00,FR04014,no2,10.7,µg/m³
258,258,Paris,FR,2019-06-08 03:00:00+00:00,FR04014,no2,9.8,µg/m³
259,259,Paris,FR,2019-06-08 02:00:00+00:00,FR04014,no2,8.4,µg/m³
260,260,Paris,FR,2019-06-08 01:00:00+00:00,FR04014,no2,9.6,µg/m³
261,261,Paris,FR,2019-06-08 00:00:00+00:00,FR04014,no2,11.3,µg/m³
262,262,Paris,FR,2019-06-07 23:00:00+00:00,FR04014,no2,14.4,µg/m³
263,263,Paris,FR,2019-06-07 22:00:00+00:00,FR04014,no2,14.7,µg/m³
264,264,Paris,FR,2019-06-07 21:00:00+00:00,FR04014,no2,16.3,µg/m³
265,265,Paris,FR,2019-06-07 20:00:00+00:00,FR04014,no2,19.4,µg/m³
266,266,Paris,FR,2019-06-07 19:00:00+00:00,FR04014,no2,19.9,µg/m³
267,267,Paris,FR,2019-06-07 18:00:00+00:00,FR04014,no2,19.1,µg/m³
268,268,Paris,FR,2019-06-07 17:00:00+00:00,FR04014,no2,19.5,µg/m³
269,269,Paris,FR,2019-06-07 16:00:00+00:00,FR04014,no2,19.5,µg/m³
270,270,Paris,FR,2019-06-07 15:00:00+00:00,FR04014,no2,15.6,µg/m³
271,271,Paris,FR,2019-06-07 14:00:00+00:00,FR04014,no2,13.1,µg/m³
272,272,Paris,FR,2019-06-07 13:00:00+00:00,FR04014,no2,15.0,µg/m³
273,273,Paris,FR,2019-06-07 12:00:00+00:00,FR04014,no2,17.8,µg/m³
274,274,Paris,FR,2019-06-07 11:00:00+00:00,FR04014,no2,26.7,µg/m³
275,275,Paris,FR,2019-06-07 10:00:00+00:00,FR04014,no2,32.1,µg/m³
276,276,Paris,FR,2019-06-07 09:00:00+00:00,FR04014,no2,34.5,µg/m³
277,277,Paris,FR,2019-06-07 08:00:00+00:00,FR04014,no2,29.3,µg/m³
278,278,Paris,FR,2019-06-07 07:00:00+00:00,FR04014,no2,23.0,µg/m³
279,279,Paris,FR,2019-06-07 06:00:00+00:00,FR04014,no2,28.9,µg/m³
280,280,Paris,FR,2019-06-06 14:00:00+00:00,FR04014,no2,15.1,µg/m³
281,281,Paris,FR,2019-06-06 13:00:00+00:00,FR04014,no2,16.0,µg/m³
282,282,Paris,FR,2019-06-06 12:00:00+00:00,FR04014,no2,16.5,µg/m³
283,283,Paris,FR,2019-06-06 11:00:00+00:00,FR04014,no2,16.4,µg/m³
284,284,Paris,FR,2019-06-06 10:00:00+00:00,FR04014,no2,21.2,µg/m³
285,285,Paris,FR,2019-06-06 09:00:00+00:00,FR04014,no2,26.0,µg/m³
286,286,Paris,FR,2019-06-06 08:00:00+00:00,FR04014,no2,36.0,µg/m³
287,287,Paris,FR,2019-06-06 07:00:00+00:00,FR04014,no2,43.1,µg/m³
288,288,Paris,FR,2019-06-06 06:00:00+00:00,FR04014,no2,40.5,µg/m³
289,289,Paris,FR,2019-06-06 05:00:00+00:00,FR04014,no2,40.3,µg/m³
290,290,Paris,FR,2019-06-06 04:00:00+00:00,FR04014,no2,28.4,µg/m³
291,291,Paris,FR,2019-06-06 03:00:00+00:00,FR04014,no2,19.2,µg/m³
292,292,Paris,FR,2019-06-06 02:00:00+00:00,FR04014,no2,15.2,µg/m³
293,293,Paris,FR,2019-06-06 01:00:00+00:00,FR04014,no2,18.0,µg/m³
294,294,Paris,FR,2019-06-06 00:00:00+00:00,FR04014,no2,23.8,µg/m³
295,295,Paris,FR,2019-06-05 23:00:00+00:00,FR04014,no2,31.8,µg/m³
296,296,Paris,FR,2019-06-05 22:00:00+00:00,FR04014,no2,30.3,µg/m³
297,297,Paris,FR,2019-06-05 21:00:00+00:00,FR04014,no2,33.7,µg/m³
298,298,Paris,FR,2019-06-05 20:00:00+00:00,FR04014,no2,37.5,µg/m³
299,299,Paris,FR,2019-06-05 19:00:00+00:00,FR04014,no2,37.8,µg/m³
300,300,Paris,FR,2019-06-05 18:00:00+00:00,FR04014,no2,40.8,µg/m³
301,301,Paris,FR,2019-06-05 17:00:00+00:00,FR04014,no2,48.8,µg/m³
302,302,Paris,FR,2019-06-05 16:00:00+00:00,FR04014,no2,37.9,µg/m³
